ID_NUMBER,ACTIVITY_LOCATION,NAICS_CODE
TXR000013714,AL    ,48411
TXD004818936,AL    ,48411
UTR000007708,AL    ,562112
CAR000177527,AL    ,23899
MAD039322250,AL    ,562112
NJD986607380,AL    ,48423
PAD146714878,AL    ,441110
PAD981739188,AL    ,54138
ALR000052449,AL    ,81111
ALR000012351,AL    ,334412
ALR000053678,AL    ,61111
ALR000024786,AL    ,33299
ALR000036004,AL    ,48423
ALD981756901,AL    ,326299
ALD983192931,AL    ,811121
ALD983171554,AL    ,811192
ALD000798744,AL    ,11331
ALR000017749,AL    ,811191
ALR000049874,AL    ,54162
ALR000050583,AL    ,453998
GAR000061564,AL    ,562112
ALD983171216,AL    ,811111
ALD983177072,AL    ,811111
ALR000022822,AL    ,81131
ALR000051581,AL    ,44611
ALR000052753,AL    ,44611
ALR000029462,AL    ,446110
ALR000029462,AL    ,44719
ALD981470537,AL    ,482111
ALR000044966,AL    ,811111
ALR000024224,AL    ,321113
AL6640006668,AL    ,221111
ALD077959245,AL    ,44112
ALD983192378,AL    ,44111
ALR000030338,AL    ,423120
ALR000006403,AL    ,811111
ALR000009936,AL    ,336211
ALR000003798,AL    ,44131
ALR000011239,AL    ,42182
ALR000005272,AL    ,452311
ALR000014084,AL    ,23411
ALR000037523,AL    ,811111
ALD082060146,AL    ,811111
ALR000025148,AL    ,321113
ALR000037762,AL    ,53212
ALD983169970,AL    ,811118
ALD000648014,AL    ,44719
ALD000648014,AL    ,48811
ALR000037887,AL    ,44131
ALD982173163,AL    ,811121
ALR000007427,AL    ,81111
ALD982163297,AL    ,621511
ALD059661454,AL    ,424690
ALR000042622,AL    ,452311
ALR000021568,AL    ,44111
ALD008171522,AL    ,337122
ALD983169590,AL    ,23832
ALR000005942,AL    ,23832
ALR000017665,AL    ,44111
ALR000046680,AL    ,44111
ALR000047068,AL    ,211111
ALR000016824,AL    ,484110
ALR000024596,AL    ,21112
ALD053363776,AL    ,331318
ALD982167793,AL    ,48832
ALD983173972,AL    ,488510
ALD983180068,AL    ,48421
ALR000034793,AL    ,33995
AL0000077024,AL    ,33639
ALR000034298,AL    ,53249
ALR000022095,AL    ,811118
ALR000048512,AL    ,42199
ALR000009258,AL    ,48411
ALD983178328,AL    ,811111
ALR000044420,AL    ,811111
ALD095700167,AL    ,811111
ALD982166845,AL    ,53212
ALR000030676,AL    ,71393
ALR000035238,AL    ,61111
ALR000050914,AL    ,811111
ALR000006411,AL    ,45291
ALR000016584,AL    ,212312
ALR000008128,AL    ,315191
ALD983167859,AL    ,326299
ALR000024539,AL    ,325314
ALD034036004,AL    ,42193
ALR000037200,AL    ,32732
ALR000052134,AL    ,44611
ALR000006023,AL    ,56173
ALR000052258,AL    ,446110
ALD983175381,AL    ,81131
ALD983176777,AL    ,44131
ALR000050724,AL    ,23832
ALR000049726,AL    ,81111
ALR000049775,AL    ,81111
ALR000053793,AL    ,81111
ALR000050880,AL    ,339999
ALD982152688,AL    ,81112
ALR000006999,AL    ,54138
ALR000051185,AL    ,81119
ALR000046573,AL    ,325211
ALD982111478,AL    ,811111
ALD034084855,AL    ,811111
ALD034057596,AL    ,332321
ALD983194226,AL    ,45211
ALD982170508,AL    ,811121
ALR000040352,AL    ,23731
ALD983193152,AL    ,44111
ALR000054064,AL    ,326199
ALD983170127,AL    ,335991
ALD983180373,AL    ,336213
ALD983170853,AL    ,44131
ALD983193798,AL    ,332312
ALR000051946,AL    ,446110
ALD983174137,AL    ,42471
ALR000028282,AL    ,44132
AL0001019447,AL    ,532412
ALR000051656,AL    ,44611
ALD004000790,AL    ,322122
ALR000016329,AL    ,32311
ALD058627134,AL    ,32522
ALR000009142,AL    ,811121
ALR000018622,AL    ,811111
AL0000028639,AL    ,811111
ALR000046839,AL    ,336611
ALD982111171,AL    ,81111
ALR000037630,AL    ,326199
ALR000031039,AL    ,811191
ALR000040451,AL    ,482112
ALR000051615,AL    ,44611
ALD982144016,AL    ,811111
ALD982167108,AL    ,61131
ALR000012807,AL    ,81131
ALD983166471,AL    ,484121
ALR000034181,AL    ,311812
ALR000001727,AL    ,44411
ALR000027490,AL    ,32312
ALR000031104,AL    ,562112
ALR000032870,AL    ,333411
ALR000037937,AL    ,61131
ALD983174962,AL    ,811121
ALR000025650,AL    ,811191
ALR000036442,AL    ,61111
ALR000000976,AL    ,45291
ALD983193756,AL    ,42173
ALD983191982,AL    ,44422
ALR000012435,AL    ,44412
ALR000050740,AL    ,44611
AL0000448795,AL    ,48621
ALR000039404,AL    ,811191
ALD983191255,AL    ,482111
ALD983191610,AL    ,811111
ALD102080348,AL    ,332312
ALD004005898,AL    ,311119
ALR000017178,AL    ,811118
ALD983179839,AL    ,33271
ALR000047878,AL    ,332313
ALR000019083,AL    ,324191
AL0000194845,AL    ,33792
ALR000018689,AL    ,811111
ALD091403642,AL    ,811111
ALD981002959,AL    ,325180
ALR000051730,AL    ,44611
ALD981757842,AL    ,81111
ALR000016816,AL    ,11331
ALD983194879,AL    ,44131
ALR000051870,AL    ,44611
ALD983177015,AL    ,562211
ALR000051029,AL    ,811111
ALR000023317,AL    ,81111
ALD095704011,AL    ,484220
ALD983174392,AL    ,811191
ALD980559843,AL    ,32551
ALD983185570,AL    ,541219
ALD980837959,AL    ,33141
ALR000040113,AL    ,611512
ALR000017442,AL    ,811191
ALR000017301,AL    ,484230
ALR000050609,AL    ,452111
ALR000025916,AL    ,811111
ALD089976690,AL    ,326199
ALR000039370,AL    ,81111
ALD982166662,AL    ,53212
ALR000032409,AL    ,23731
ALR000032409,AL    ,811191
ALR000010868,AL    ,49211
AL0000928853,AL    ,337122
ALD045627296,AL    ,323113
ALR000009100,AL    ,332313
ALD982143950,AL    ,811121
ALD980600415,AL    ,562
ALR000014464,AL    ,324191
ALR000012609,AL    ,811121
ALD034058164,AL    ,811191
ALR000001412,AL    ,811118
ALR000044917,AL    ,44111
ALR000013623,AL    ,333993
ALR000033811,AL    ,44131
ALR000037804,AL    ,42495
ALD983180274,AL    ,325211
ALR000032029,AL    ,311613
ALD005346432,AL    ,33271
ALR000046797,AL    ,332313
ALD008180572,AL    ,333511
AL0000129833,AL    ,811113
ALD982123671,AL    ,453998
ALR000016436,AL    ,33231
ALR000021790,AL    ,811111
ALD049984842,AL    ,332813
ALR000030734,AL    ,23899
ALR000045047,AL    ,33121
ALR000030718,AL    ,811111
ALD983191842,AL    ,81111
ALR000017269,AL    ,811191
ALD983174194,AL    ,493110
ALR000045179,AL    ,562119
ALR000046714,AL    ,23622
ALD031480031,AL    ,32518
ALD983194127,AL    ,811121
ALD982123978,AL    ,811111
ALD008188708,AL    ,325180
ALD983182668,AL    ,337124
AL4210020562,AL    ,92512
ALR000049361,AL    ,562112
ALD000652578,AL    ,321114
ALR000024885,AL    ,452319
ALD000652784,AL    ,42271
ALD000823179,AL    ,33111
ALD982171571,AL    ,811121
ALR000008805,AL    ,332119
ALD050978055,AL    ,42272
ALD047107784,AL    ,44131
ALR000021899,AL    ,811111
ALR000010405,AL    ,339991
ALD008150617,AL    ,562219
ALR000003244,AL    ,42393
ALR000036012,AL    ,42471
ALD983168626,AL    ,4471
ALR000001321,AL    ,45211
ALD077657427,AL    ,33121
ALN930617002,AL    ,811191
ALD052813631,AL    ,49311
ALD983193988,AL    ,811111
ALD981023476,AL    ,811111
ALD981023476,AL    ,92811
ALD031549579,AL    ,811111
ALR000014258,AL    ,332313
ALR000048595,AL    ,336611
ALR000017509,AL    ,811191
ALD982145799,AL    ,337122
ALR000027227,AL    ,49211
ALR000032623,AL    ,48621
ALR000002485,AL    ,423930
ALD099842098,AL    ,42471
ALR000040998,AL    ,81112
ALD003397742,AL    ,332312
AL0000941997,AL    ,811111
AL0000859371,AL    ,32311
ALD980839492,AL    ,62211
ALR000051045,AL    ,811111
ALD983167479,AL    ,44111
ALR000035980,AL    ,811191
AL5170024637,AL    ,336611
ALD983173782,AL    ,811111
ALD981923899,AL    ,51111
ALD983194143,AL    ,54133
ALD982079683,AL    ,314999
ALD031633878,AL    ,81232
ALD046820197,AL    ,56172
ALR000031864,AL    ,811111
ALD034055616,AL    ,325612
ALD053367785,AL    ,44131
ALR000014407,AL    ,44511
ALR000038869,AL    ,484121
ALR000040519,AL    ,562112
ALD982146706,AL    ,45211
ALD055156749,AL    ,332813
ALD004003448,AL    ,337124
ALR000022301,AL    ,331511
ALR000035394,AL    ,61111
AL0000194605,AL    ,4471
ALR000010272,AL    ,81131
ALD982096497,AL    ,81111
ALR000010348,AL    ,81232
ALR000036285,AL    ,321999
ALR000016865,AL    ,81111
ALR000023705,AL    ,45291
ALR000022160,AL    ,811121
ALR000017012,AL    ,811191
ALR000017822,AL    ,811111
ALR000018705,AL    ,811118
ALR000030031,AL    ,42393
AL0000129478,AL    ,23731
ALD982094062,AL    ,493110
ALR000001438,AL    ,484121
ALR000011874,AL    ,81119
ALD982142416,AL    ,811121
ALD000652727,AL    ,213112
ALD983182502,AL    ,311119
ALD034102939,AL    ,81111
ALR000017194,AL    ,81111
AL0000028472,AL    ,54194
ALD087638755,AL    ,32311
ALD983174368,AL    ,61131
ALR000015065,AL    ,811191
ALD003396637,AL    ,337215
ALR000024190,AL    ,22121
ALR000036632,AL    ,81111
ALR000047522,AL    ,811191
ALD000612382,AL    ,2211
ALR000030924,AL    ,32311
AL0000008417,AL    ,811121
ALD983169814,AL    ,42271
ALD983185372,AL    ,811121
ALD004010864,AL    ,332313
ALD031497423,AL    ,333996
